track_id,track_name,track_artist,playlist_genre,energy,key,valence,acousticness,speechiness
6f807x0ima9a1j3VPbc7VN,I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran,pop,0.916,6,0.518,0.102,0.0583
0r7CVbZTWZgbTCYdfa2P31,Memories - Dillon Francis Remix,Maroon 5,pop,0.815,11,0.693,0.0724,0.0373
1z1Hg7Vb0AhHDiEmnDE79l,All the Time - Don Diablo Remix,Zara Larsson,pop,0.931,1,0.613,0.0794,0.0742
75FpbthrwQmzHlBJLuGdC7,Call You Mine - Keanu Silva Remix,The Chainsmokers,pop,0.93,7,0.277,0.0287,0.102
1e8PAfcKUYoKkxPhrHqw4x,Someone You Loved - Future Humans Remix,Lewis Capaldi,pop,0.833,1,0.725,0.0803,0.0359
7fvUMiyapMsRRxr07cU8Ef,Beautiful People (feat. Khalid) - Jack Wins Remix,Ed Sheeran,pop,0.919,8,0.585,0.0799,0.127
2OAylPUDDfwRGfe0lYqlCQ,Never Really Over - R3HAB Remix,Katy Perry,pop,0.856,5,0.152,0.187,0.0623
6b1RNvAcJjQH73eZO4BLAB,Post Malone (feat. RANI) - GATTÜSO Remix,Sam Feldt,pop,0.903,4,0.367,0.0335,0.0434
7bF6tCO3gFb8INrEDcjNT5,Tough Love - Tiësto Remix / Radio Edit,Avicii,pop,0.935,8,0.366,0.0249,0.0565
1IXGILkPm0tOCNeq00kCPa,If I Can't Have You - Gryffin Remix,Shawn Mendes,pop,0.818,2,0.59,0.0567,0.032
3eFJI470ALf1EYjywPRsJy,Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Ed Sheeran,pop,0.923,6,0.752,0.146,0.181
3iJeF2izF1QcpCgUc97BLl,Hate Me - R3HAB Remix,Ellie Goulding,pop,0.774,8,0.329,0.148,0.0554
6e0CvGZf7CouOpYF8toXHC,Body On My,Loud Luxury,pop,0.726,1,0.687,0.0399,0.0463
3eLdNmnRWr9gIyBcqTSSti,SOS - Laidback Luke Tribute Remix / Radio Edit,Avicii,pop,0.915,5,0.678,0.0111,0.0625
55nMnifaQWKe3f9cbwOXwx,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Martin Garrix,pop,0.78,5,0.238,0.00733,0.0594
1EJgymgJHcjSOGSHcYaxvW,South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,Ed Sheeran,pop,0.835,0,0.722,0.13,0.0896
5WaXMQMlQpq8pwIdaFP43L,All My Friends - Eden Prince Remix,AJ Mitchell,pop,0.901,1,0.368,0.0702,0.0948
3TjLsDgL0bTbSQIF6M5Ki8,Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,David Guetta,pop,0.747,10,0.516,0.0395,0.165
0GfS3y8Jd7SHWd9R51s7Fo,Dancing With A Stranger (With Normani) - Cheat Codes Remix,Sam Smith,pop,0.557,1,0.324,0.103,0.0542
